,YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,ConsumptionPattern,Effect,ConditionType,Condition,Sex,AgeCategory,AgeGroup,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,LocationID,ClassID,EffectID,ConditionID,ConsumptionID,Stratification1ID,AgeCategoryID,Stratification2ID,DataValueTypeID
8802,2006,2010,WI,Wisconsin,ARDI,Excessive Use,Harmful Effects,Acute     ,Suicide,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,167,166.5,55,ACUTE,HARMEFF,SUICID,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
9868,2006,2010,ND,North Dakota,ARDI,Excessive Use,Harmful Effects,Acute     ,Suicide,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,21,21.4,38,ACUTE,HARMEFF,SUICID,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
9880,2006,2010,LA,Louisiana,ARDI,Excessive Use,Harmful Effects,Acute     ,Suicide,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,118,118.0,21,ACUTE,HARMEFF,SUICID,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
14228,2006,2010,MI,Michigan,ARDI,Excessive Use,Harmful Effects,Acute     ,Suicide,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,268,268.4,26,ACUTE,HARMEFF,SUICID,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
17572,2006,2010,SC,South Carolina,ARDI,Excessive Use,Harmful Effects,Acute     ,Suicide,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,132,131.6,45,ACUTE,HARMEFF,SUICID,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
17750,2006,2010,UT,Utah,ARDI,Excessive Use,Harmful Effects,Acute     ,Suicide,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,94,94.3,51,ACUTE,HARMEFF,SUICID,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
23368,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Acute     ,Suicide,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,8179,8179.0,0,ACUTE,HARMEFF,SUICID,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
23698,2006,2010,CT,Connecticut,ARDI,Excessive Use,Harmful Effects,Acute     ,Suicide,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,71,70.6,9,ACUTE,HARMEFF,SUICID,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
26563,2006,2010,DE,Delaware,ARDI,Excessive Use,Harmful Effects,Acute     ,Suicide,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,23,23.0,10,ACUTE,HARMEFF,SUICID,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
27508,2006,2010,ME,Maine,ARDI,Excessive Use,Harmful Effects,Acute     ,Suicide,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,41,41.4,23,ACUTE,HARMEFF,SUICID,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
