,YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,ConsumptionPattern,Effect,ConditionType,Condition,Sex,AgeCategory,AgeGroup,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,LocationID,ClassID,EffectID,ConditionID,ConsumptionID,Stratification1ID,AgeCategoryID,Stratification2ID,DataValueTypeID
6937,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Acute     ,Firearm injuries,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,98,97.9,0,ACUTE,HARMEFF,FIREAR,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
7469,2006,2010,US,National,ARDI,Excessive Use,Beneficial Effects,Chronic   ,Chronic hepatitis,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,0,0.0,0,CHRONIC,BENEFF,CHRHEP,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
7622,2006,2010,US,National,ARDI,Excessive Use,Beneficial Effects,Chronic   ,Esophageal varices,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,0,0.0,0,CHRONIC,BENEFF,ESOVAR,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
8142,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Acute     ,Child maltreatment,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,167,167.2,0,ACUTE,HARMEFF,CHILAB,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
8582,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Chronic   ,Spontaneous abortion (females only),Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,<1,0.2,0,CHRONIC,HARMEFF,SPONAB,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
11677,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Acute     ,Excessive blood alcohol level,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,0,0.0,0,ACUTE,HARMEFF,ALCBLA,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
12464,2006,2010,US,National,ARDI,Excessive Use,Beneficial Effects,Chronic   ,Psoriasis,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,0,0.0,0,CHRONIC,BENEFF,PSORIA,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
13680,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Chronic   ,Chronic hepatitis,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,1,1.4,0,CHRONIC,HARMEFF,CHRHEP,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
14422,2006,2010,US,National,ARDI,Excessive Use,Beneficial Effects,Chronic   ,Fetal alcohol syndrome,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,0,0.0,0,CHRONIC,BENEFF,ALCFAS,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
15812,2006,2010,US,National,ARDI,Excessive Use,Beneficial Effects,Acute     ,Aspiration,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,0,0.0,0,ACUTE,BENEFF,ASPIRA,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
16058,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Chronic   ,Psoriasis,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,<1,0.2,0,CHRONIC,HARMEFF,PSORIA,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
17619,2006,2010,US,National,ARDI,Excessive Use,Beneficial Effects,Chronic   ,Epilepsy,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,0,0.0,0,CHRONIC,BENEFF,EPILEP,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
17761,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Chronic   ,Ischemic heart disease,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,738,738.4,0,CHRONIC,HARMEFF,ISCHTD,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
