,YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,ConsumptionPattern,Effect,ConditionType,Condition,Sex,AgeCategory,AgeGroup,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,LocationID,ClassID,EffectID,ConditionID,ConsumptionID,Stratification1ID,AgeCategoryID,Stratification2ID,DataValueTypeID
153,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Chronic   ,Breast cancer (females only),Female,Other,All Ages,number of alcohol attributable deaths,Annual Average,391,391.0,0,CHRONIC,HARMEFF,BRECAN,EXCUSE,GENF,AGECAT1,AGEGRP0,AnnAvg
250,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Chronic   ,Epilepsy,Female,Other,All Ages,number of alcohol attributable deaths,Annual Average,95,95.1,0,CHRONIC,HARMEFF,EPILEP,EXCUSE,GENF,AGECAT1,AGEGRP0,AnnAvg
373,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Chronic   ,"Low birth weight, prematurity, IUGR, death",Female,Other,All Ages,number of alcohol attributable deaths,Annual Average,60,59.9,0,CHRONIC,HARMEFF,LBWPID,EXCUSE,GENF,AGECAT1,AGEGRP0,AnnAvg
426,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Chronic   ,Fetus and newborn affected by maternal use of alcohol,Female,Other,All Ages,number of alcohol attributable deaths,Annual Average,1,1.0,0,CHRONIC,HARMEFF,ALCMAU,EXCUSE,GENF,AGECAT1,AGEGRP0,AnnAvg
510,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Chronic   ,Esophageal cancer,Female,Other,All Ages,number of alcohol attributable deaths,Annual Average,55,55.3,0,CHRONIC,HARMEFF,ESOCAN,EXCUSE,GENF,AGECAT1,AGEGRP0,AnnAvg
541,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Chronic   ,Spontaneous abortion (females only),Female,Other,All Ages,number of alcohol attributable deaths,Annual Average,<1,0.2,0,CHRONIC,HARMEFF,SPONAB,EXCUSE,GENF,AGECAT1,AGEGRP0,AnnAvg
550,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Chronic   ,Oropharyngeal cancer,Female,Other,All Ages,number of alcohol attributable deaths,Annual Average,56,56.0,0,CHRONIC,HARMEFF,OROCAN,EXCUSE,GENF,AGECAT1,AGEGRP0,AnnAvg
605,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Acute     ,Aspiration,Female,Other,All Ages,number of alcohol attributable deaths,Annual Average,94,94.3,0,ACUTE,HARMEFF,ASPIRA,EXCUSE,GENF,AGECAT1,AGEGRP0,AnnAvg
628,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Chronic   ,Alcoholic gastritis,Female,Other,All Ages,number of alcohol attributable deaths,Annual Average,6,6.0,0,CHRONIC,HARMEFF,ALCGAS,EXCUSE,GENF,AGECAT1,AGEGRP0,AnnAvg
682,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Acute     ,Alcohol poisoning,Female,Other,All Ages,number of alcohol attributable deaths,Annual Average,383,383.0,0,ACUTE,HARMEFF,ALCPOI,EXCUSE,GENF,AGECAT1,AGEGRP0,AnnAvg
788,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Chronic   ,Laryngeal cancer,Female,Other,All Ages,number of alcohol attributable deaths,Annual Average,33,33.4,0,CHRONIC,HARMEFF,LARCAN,EXCUSE,GENF,AGECAT1,AGEGRP0,AnnAvg
917,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Acute     ,Motor-vehicle traffic crashes,Female,Other,All Ages,number of alcohol attributable deaths,Annual Average,2696,2696.2,0,ACUTE,HARMEFF,MTVTRA,EXCUSE,GENF,AGECAT1,AGEGRP0,AnnAvg
1052,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Acute     ,Poisoning (not alcohol),Female,Other,All Ages,number of alcohol attributable deaths,Annual Average,2947,2947.3,0,ACUTE,HARMEFF,POISON,EXCUSE,GENF,AGECAT1,AGEGRP0,AnnAvg
1147,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Chronic   ,Alcohol cardiomyopathy,Female,Other,All Ages,number of alcohol attributable deaths,Annual Average,73,73.0,0,CHRONIC,HARMEFF,ALCCAR,EXCUSE,GENF,AGECAT1,AGEGRP0,AnnAvg
1169,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Chronic   ,Alcohol dependence syndrome,Female,Other,All Ages,number of alcohol attributable deaths,Annual Average,836,836.0,0,CHRONIC,HARMEFF,ALCDSY,EXCUSE,GENF,AGECAT1,AGEGRP0,AnnAvg
1217,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Chronic   ,"Stroke, ischemic",Female,Other,All Ages,number of alcohol attributable deaths,Annual Average,118,118.2,0,CHRONIC,HARMEFF,STROKI,EXCUSE,GENF,AGECAT1,AGEGRP0,AnnAvg
1237,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Acute     ,Child maltreatment,Female,Other,All Ages,number of alcohol attributable deaths,Annual Average,70,69.6,0,ACUTE,HARMEFF,CHILAB,EXCUSE,GENF,AGECAT1,AGEGRP0,AnnAvg
1256,2006,2010,US,National,ARDI,Excessive Use,Beneficial Effects,Chronic   ,Cholelithiases,Female,Other,All Ages,number of alcohol attributable deaths,Annual Average,-4,-4.5,0,CHRONIC,BENEFF,CHOLEL,EXCUSE,GENF,AGECAT1,AGEGRP0,AnnAvg
1263,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Acute     ,Motor-vehicle nontraffic crashes,Female,Other,All Ages,number of alcohol attributable deaths,Annual Average,49,49.3,0,ACUTE,HARMEFF,MTVNTR,EXCUSE,GENF,AGECAT1,AGEGRP0,AnnAvg
1312,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Acute     ,Occupational and machine injuries,Female,Other,All Ages,number of alcohol attributable deaths,Annual Average,8,7.7,0,ACUTE,HARMEFF,MACHOB,EXCUSE,GENF,AGECAT1,AGEGRP0,AnnAvg
1511,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Acute     ,Drowning,Female,Other,All Ages,number of alcohol attributable deaths,Annual Average,193,192.8,0,ACUTE,HARMEFF,DROWNI,EXCUSE,GENF,AGECAT1,AGEGRP0,AnnAvg
1526,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Acute     ,Fall injuries,Female,Other,All Ages,number of alcohol attributable deaths,Annual Average,3688,3688.0,0,ACUTE,HARMEFF,FALLSS,EXCUSE,GENF,AGECAT1,AGEGRP0,AnnAvg
1611,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Chronic   ,Psoriasis,Female,Other,All Ages,number of alcohol attributable deaths,Annual Average,<1,0.0,0,CHRONIC,HARMEFF,PSORIA,EXCUSE,GENF,AGECAT1,AGEGRP0,AnnAvg
1654,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Chronic   ,Liver cancer,Female,Other,All Ages,number of alcohol attributable deaths,Annual Average,245,245.0,0,CHRONIC,HARMEFF,LIVCAN,EXCUSE,GENF,AGECAT1,AGEGRP0,AnnAvg
1710,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Chronic   ,"Liver cirrhosis, unspecified",Female,Other,All Ages,number of alcohol attributable deaths,Annual Average,3255,3255.2,0,CHRONIC,HARMEFF,LIVCIR,EXCUSE,GENF,AGECAT1,AGEGRP0,AnnAvg
1801,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Chronic   ,Chronic pancreatitis,Female,Other,All Ages,number of alcohol attributable deaths,Annual Average,116,115.9,0,CHRONIC,HARMEFF,CHRPAN,EXCUSE,GENF,AGECAT1,AGEGRP0,AnnAvg
1926,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Chronic   ,Ischemic heart disease,Female,Other,All Ages,number of alcohol attributable deaths,Annual Average,223,222.8,0,CHRONIC,HARMEFF,ISCHTD,EXCUSE,GENF,AGECAT1,AGEGRP0,AnnAvg
2022,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Acute     ,Suicide by and exposure to alcohol,Female,Other,All Ages,number of alcohol attributable deaths,Annual Average,14,14.0,0,ACUTE,HARMEFF,ALCSUC,EXCUSE,GENF,AGECAT1,AGEGRP0,AnnAvg
2053,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Chronic   ,Portal hypertension,Female,Other,All Ages,number of alcohol attributable deaths,Annual Average,14,13.6,0,CHRONIC,HARMEFF,PORHYP,EXCUSE,GENF,AGECAT1,AGEGRP0,AnnAvg
2107,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Chronic   ,Esophageal varices,Female,Other,All Ages,number of alcohol attributable deaths,Annual Average,18,18.0,0,CHRONIC,HARMEFF,ESOVAR,EXCUSE,GENF,AGECAT1,AGEGRP0,AnnAvg
